date,CSI1000,CSI500,CYB,HS300,SH50
2013-12-06,4430.064,3918.783,1206.783,2452.287,1675.255
2013-12-09,4494.502,3947.704,1241.715,2450.872,1669.872
2013-12-10,4491.967,3950.486,1231.921,2453.322,1670.553
2013-12-11,4465.052,3906.78,1244.505,2412.763,1639.182
2013-12-12,4507.545,3916.962,1279.318,2410.015,1631.914
2013-12-13,4520.793,3925.434,1278.143,2406.639,1626.41
2013-12-16,4460.131,3857.715,1279.958,2367.923,1602.455
2013-12-17,4433.701,3834.027,1267.673,2356.376,1597.265
2013-12-18,4429.139,3834.045,1256.0,2357.226,1598.678
2013-12-19,4393.517,3795.023,1256.084,2332.41,1580.113
2013-12-20,4348.799,3747.002,1253.714,2278.136,1537.413
2013-12-23,4334.171,3742.738,1242.806,2284.602,1541.265
2013-12-24,4379.273,3768.703,1258.823,2288.248,1539.599
2013-12-25,4454.295,3808.453,1288.341,2305.11,1547.359
2013-12-26,4375.155,3743.132,1269.535,2265.334,1524.883
2013-12-27,4455.351,3800.774,1294.302,2303.478,1550.221
2013-12-30,4487.489,3813.003,1307.988,2299.458,1547.919
2013-12-31,4482.861,3829.096,1304.444,2330.026,1574.781
2014-01-02,4539.5,3847.879,1333.003,2321.978,1561.099
2014-01-03,4531.747,3816.316,1352.84,2290.779,1536.067
2014-01-06,4411.27,3710.898,1323.328,2238.637,1512.93
2014-01-07,4458.557,3733.662,1352.276,2238.001,1510.654
2014-01-08,4504.673,3738.205,1405.023,2241.911,1515.333
2014-01-09,4431.8,3696.023,1380.244,2222.221,1503.881
2014-01-10,4354.844,3628.634,1353.302,2204.851,1498.268
2014-01-13,4346.713,3612.02,1362.788,2193.679,1494.613
2014-01-14,4447.699,3683.534,1400.916,2212.846,1499.285
2014-01-15,4494.095,3708.142,1415.323,2208.941,1488.509
2014-01-16,4485.269,3714.314,1395.163,2211.844,1493.094
2014-01-17,4445.2,3671.915,1395.509,2178.488,1475.671
2014-01-20,4415.096,3644.125,1372.736,2165.993,1464.842
2014-01-21,4486.869,3700.108,1407.152,2187.41,1478.884
2014-01-22,4584.079,3799.042,1431.741,2243.796,1514.121
2014-01-23,4627.341,3825.486,1461.525,2231.889,1499.031
2014-01-24,4695.287,3882.668,1484.432,2245.678,1502.065
2014-01-27,4682.053,3881.947,1477.669,2215.919,1478.865
